# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 1200ac5e6ebf4e70
# CUDA_DEVICE 0 Tesla C2050
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,gld_inst_32bit,gld_inst_64bit,gld_inst_128bit,gst_inst_8bit,gst_inst_16bit,gst_inst_32bit,gst_inst_64bit,gst_inst_128bit,local_load,local_store,gld_request,gst_request,shared_load,shared_store,sm_cta_launched,l1_local_load_hit,divergent_branch,l1_local_store_miss,l1_global_load_hit,inst_issued,l1_global_load_miss,inst_executed,uncached_global_load_transaction,global_store_transaction,warps_launched,threads_launched,l1_shared_bank_conflict,active_warps,active_cycles,l2 read requests,l2 read texture requests,l2 write requests,l2 write misses,tex cache requests,tex cache misses,threads instruction executed,dram reads,dram writes
1200f3793c48f280,memcpyHtoD,0.96,53.56,,,,,,,,,,,0,0,4,0
1200f3793e4ed580,memcpyHtoD,1.376,165,,,,,,,,,,,0,0,4,0
1200f3793e876ae0,memcpyHtoD,72.288,518.24,,,,,,,,,,,0,0,229376,0
1200f3793eb7ce20,memcpyHtoD,0.96,43.92,,,,,,,,,,,0,0,8,0
1200f379401317c0,memcpyHtoD,1.408,154,,,,,,,,,,,0,0,8,0
1200f379403d20e0,memcpyHtoD,144.448,686.36,,,,,,,,,,,0,0,458752,0
1200f379403f6ac0,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,8422.37,21.36,0.667,56,1,1,256,1,1,4096,0,30,0,-1,,0,0,0,831488,0,0,0,0,28672,0,0,1856,64,458752,1792,4,0,0,0,416,8403362,7040,8403104,0,256,32,1024,0,112193447,4827295,387208,0,14336,50710,0,0,268899328,160464,61427
1200f37942f0ffa0,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,8423.1,22.36,0.667,56,1,1,256,1,1,4096,0,30,0,-1,,0,0,0,831488,0,0,0,0,28672,0,0,1856,64,458752,1792,4,0,0,0,456,8403339,7008,8403104,0,256,32,1024,0,112287448,4829591,386924,0,14336,36356,0,0,268899328,123911,44544
1200f37943aee160,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,8419.68,20.84,0.667,56,1,1,256,1,1,4096,0,30,0,-1,,0,0,0,831488,0,0,0,0,28672,0,0,1856,64,458752,1792,4,0,0,0,436,8403345,6976,8403104,0,256,32,1024,0,113303860,4825750,386460,0,14336,36383,0,0,268899328,139351,43473
1200f3794470ede0,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,8418.85,21.24,0.667,56,1,1,256,1,1,4096,0,30,0,-1,,0,0,0,831488,0,0,0,0,28672,0,0,1856,64,458752,1792,4,0,0,0,500,8408662,6916,8426850,0,256,32,1024,0,112234992,4825370,387096,21717,14336,36356,0,0,268983892,124896,44550
1200f379453e5d20,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,8417.54,21.28,0.667,56,1,1,256,1,1,4096,0,30,0,-1,,0,0,0,831488,0,0,0,0,28672,0,0,1856,64,458752,1792,4,0,0,0,512,8403335,6976,8412857,0,256,32,1024,0,112290727,4827900,387400,21717,14336,36380,0,0,268899328,139904,43444
1200f37946287e80,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,8419.42,22.6,0.667,56,1,1,256,1,1,4096,0,30,0,-1,,0,0,0,831488,0,0,0,0,28672,0,0,1856,64,458752,1792,4,0,0,0,444,8403358,6950,8403104,0,256,32,1024,0,112286206,4829319,387276,33303,14336,36356,0,0,268899328,123943,44576
1200f379470e1fc0,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,8419.04,23.72,0.667,56,1,1,256,1,1,4096,0,30,0,-1,,0,0,0,831488,0,0,0,0,28672,0,0,1856,64,458752,1792,4,0,0,0,512,8403331,6980,8403104,0,256,32,1024,0,112329119,4878167,386456,100035,14336,229433,38897,0,268899328,628452,260696
1200f37947ea4900,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,8417.12,20.64,0.667,56,1,1,256,1,1,4096,0,30,0,-1,,0,0,0,831488,0,0,0,0,28672,0,0,1856,64,458752,1792,4,0,0,0,480,8403323,6944,8403104,0,256,32,1024,0,112290395,4827375,387432,32320,14336,63755,0,0,268987149,237396,72326
1200f37948adae20,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,8417.82,23.16,0.667,56,1,1,256,1,1,4096,0,30,0,-1,,0,0,0,831488,0,0,0,0,28672,0,0,1856,64,458752,1792,4,0,0,0,448,8403313,7010,8403104,0,256,32,1024,0,112200331,4828403,387008,0,14336,63949,0,0,268899328,237933,72500
1200f37949706aa0,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,8418.72,21.36,0.667,56,1,1,256,1,1,4096,0,30,0,-1,,0,0,0,831488,0,0,0,0,28672,0,0,1856,64,458752,1792,4,0,0,0,480,8403321,6954,8403104,0,256,32,1024,0,113390726,4827096,387584,0,14336,36390,0,0,268899328,148091,42279
1200f3794a3c44e0,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,8418.02,21.56,0.667,56,1,1,256,1,1,4096,0,30,0,-1,,0,0,0,831488,0,0,0,0,28672,0,0,1856,64,458752,1792,4,0,0,0,508,8408615,7008,8427388,0,256,32,1024,0,112238638,4842745,386128,0,14336,36378,5978,0,268899328,147115,42294
1200f3794b0af920,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,8421.76,21.28,0.667,56,1,1,256,1,1,4096,0,30,0,-1,,0,0,0,831488,0,0,0,0,28672,0,0,1856,64,458752,1792,4,0,0,0,412,8403332,7002,8403104,0,256,32,1024,0,112255797,4825961,387216,27122,14336,41704,0,0,268899328,146853,49618
1200f3794bcf9720,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,8416.74,23.52,0.667,56,1,1,256,1,1,4096,0,30,0,-1,,0,0,0,831488,0,0,0,0,28672,0,0,1856,64,458752,1792,4,0,0,0,450,8403308,7012,8403104,0,256,32,1024,0,112255583,4827590,386688,53391,14336,87392,0,0,268899328,283759,99177
1200f3794cbc7740,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,8420.26,26.24,0.667,56,1,1,256,1,1,4096,0,30,0,-1,,0,0,0,831488,0,0,0,0,28672,0,0,1856,64,458757,1799,4,0,0,0,480,8403327,6976,8403104,0,256,825,26104,0,112297490,4826452,387448,45849,14336,135648,0,0,268899328,412856,151685
1200f3794d779be0,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,8417.06,22.44,0.667,56,1,1,256,1,1,4096,0,30,0,-1,,0,0,0,831488,0,0,0,0,28672,0,0,1856,64,458752,1792,4,0,0,0,480,8403322,6944,8403104,0,256,865,27084,0,112194532,4826723,387584,36586,14336,129239,2668,0,268899328,400078,143914
