# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 12014cef718e8748
# CUDA_DEVICE 0 Tesla C2050
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype
120157a4e6c61540,memcpyHtoD,3.104,50.88,,,,,,,,,,,0,0,8192,0
120157a4e6d3fe80,memcpyHtoD,3.424,160.12,,,,,,,,,,,0,0,8192,0
120157a4e6d84ac0,memcpyHtoD,0.96,36.88,,,,,,,,,,,0,0,4,0
120157a4e6dc57e0,memcpyHtoD,0.992,165.4,,,,,,,,,,,0,0,4,0
120157a4e6deb8e0,memcpyHtoD,3.072,135.68,,,,,,,,,,,0,0,8192,0
120157a4e6f08b20,memcpyHtoD,3.584,205.4,,,,,,,,,,,0,0,8192,0
120157a4e6f5fda0,memcpyHtoD,3.2,1148,,,,,,,,,,,0,0,8192,0
120157a4e6f86e00,memcpyHtoD,3.104,260.32,,,,,,,,,,,0,0,8192,0
120157a4e6fac100,memcpyHtoD,3.2,135.16,,,,,,,,,,,0,0,8192,0
120157a4e6fd0e20,memcpyHtoD,3.072,129.56,,,,,,,,,,,0,0,8192,0
120157a4e6ffa3a0,memcpyHtoD,3.072,128.4,,,,,,,,,,,0,0,8192,0
120157a4e7023100,memcpyHtoD,3.072,129.56,,,,,,,,,,,0,0,8192,0
120157a4e704bd80,memcpyHtoD,3.104,129.76,,,,,,,,,,,0,0,8192,0
120157a4e70746e0,memcpyHtoD,3.072,129.4,,,,,,,,,,,0,0,8192,0
120157a4e7108600,memcpyHtoD,3.104,128.56,,,,,,,,,,,0,0,8192,0
120157a4e7109b00,_Z17bisectKernelLargePfS_jffjjfPjS0_S_S_S0_S_S_S0_S0_S0_S0_,9608.9,36.88,0.167,1,1,1,256,1,1,0,8236,31,0,-1,,0
120157a4e7c86e40,memcpyDtoH,2.048,304.64,,,,,,,,,,,0,0,4,0
120157a4e7ce7aa0,_Z30bisectKernelLarge_OneIntervalsPfS_jjS_S_Pjf,11529.8,23.92,0.167,1,1,1,256,1,1,0,2052,24,0,-1,,0
120157a4e8906b80,memcpyDtoH,2.208,345.72,,,,,,,,,,,0,0,4,0
120157a4e89a5600,_Z31bisectKernelLarge_MultIntervalsPfS_jPjS0_S_S_S0_S0_S_S0_f,24685.3,24.16,0.667,11,1,1,256,1,1,0,10272,25,0,-1,,0
120157a4ea1308a0,_Z17bisectKernelLargePfS_jffjjfPjS0_S_S_S0_S_S_S0_S0_S0_S0_,9604.29,7.44,0.167,1,1,1,256,1,1,0,8236,31,0,-1,,0
120157a4eabb8560,memcpyDtoH,1.6,262.28,,,,,,,,,,,0,0,4,0
120157a4eac08ac0,_Z30bisectKernelLarge_OneIntervalsPfS_jjS_S_Pjf,11529.8,24.4,0.167,1,1,1,256,1,1,0,2052,24,0,-1,,0
120157a4eb7f5880,memcpyDtoH,1.792,262.28,,,,,,,,,,,0,0,4,0
120157a4eb8821e0,_Z31bisectKernelLarge_MultIntervalsPfS_jPjS0_S_S_S0_S0_S_S0_f,24683.9,23.08,0.667,11,1,1,256,1,1,0,10272,25,0,-1,,0
120157a4ed00cf00,_Z17bisectKernelLargePfS_jffjjfPjS0_S_S_S0_S_S_S0_S0_S0_S0_,9604.1,7.6,0.167,1,1,1,256,1,1,0,8236,31,0,-1,,0
120157a4eda66da0,memcpyDtoH,1.6,247.92,,,,,,,,,,,0,0,4,0
120157a4edab79a0,_Z30bisectKernelLarge_OneIntervalsPfS_jjS_S_Pjf,11529.8,24.28,0.167,1,1,1,256,1,1,0,2052,24,0,-1,,0
120157a4ee6beca0,memcpyDtoH,1.6,320.2,,,,,,,,,,,0,0,4,0
120157a4ee75cb60,_Z31bisectKernelLarge_MultIntervalsPfS_jPjS0_S_S_S0_S0_S_S0_f,24681.6,24.16,0.667,11,1,1,256,1,1,0,10272,25,0,-1,,0
120157a4efee6f80,_Z17bisectKernelLargePfS_jffjjfPjS0_S_S_S0_S_S_S0_S0_S0_S0_,9602.88,7.68,0.167,1,1,1,256,1,1,0,8236,31,0,-1,,0
120157a4f0930f20,memcpyDtoH,1.632,247.32,,,,,,,,,,,0,0,4,0
120157a4f098b640,_Z30bisectKernelLarge_OneIntervalsPfS_jjS_S_Pjf,11528.9,27.8,0.167,1,1,1,256,1,1,0,2052,24,0,-1,,0
120157a4f158be60,memcpyDtoH,1.6,294.52,,,,,,,,,,,0,0,4,0
120157a4f1627040,_Z31bisectKernelLarge_MultIntervalsPfS_jPjS0_S_S_S0_S0_S_S0_f,24681.6,24.04,0.667,11,1,1,256,1,1,0,10272,25,0,-1,,0
120157a4f2db1460,_Z17bisectKernelLargePfS_jffjjfPjS0_S_S_S0_S_S_S0_S0_S0_S0_,9602.85,7.36,0.167,1,1,1,256,1,1,0,8236,31,0,-1,,0
120157a4f38140e0,memcpyDtoH,1.568,256.96,,,,,,,,,,,0,0,4,0
120157a4f3863020,_Z30bisectKernelLarge_OneIntervalsPfS_jjS_S_Pjf,11529.1,23.04,0.167,1,1,1,256,1,1,0,2052,24,0,-1,,0
