# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 1200fce6996df538
# CUDA_DEVICE 0 Tesla C2050
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,gld_inst_32bit,gld_inst_64bit,gld_inst_128bit,gst_inst_8bit,gst_inst_16bit,gst_inst_32bit,gst_inst_64bit,gst_inst_128bit,local_load,local_store,gld_request,gst_request,shared_load,shared_store,sm_cta_launched,l1_local_load_hit,branch,l1_local_load_miss,l1_local_store_hit,divergent_branch,l1_local_store_miss,l1_global_load_hit,inst_issued,l1_global_load_miss,inst_executed,uncached_global_load_transaction,global_store_transaction,warps_launched,threads_launched,l1_shared_bank_conflict,active_warps,active_cycles,l2 read requests,l2 read texture requests,l2 write requests,l2 read misses,l2 write misses,tex cache requests,tex cache misses,threads instruction executed,dram reads,dram writes
120108f520acd0c0,memcpyHtoD,1.184,45.36,,,,,,,,,,,0,0,2048,0
120108f520b0e700,memcpyHtoD,1.216,150.16,,,,,,,,,,,0,0,2048,0
120108f520b3b740,memcpyHtoD,1.216,141.12,,,,,,,,,,,0,0,2048,0
120108f520b5e1e0,memcpyHtoD,1.152,148.92,,,,,,,,,,,0,0,2048,0
120108f520b7e620,memcpyHtoD,1.216,124.28,,,,,,,,,,,0,0,2048,0
120108f520bf6bc0,memcpyHtoD,3.296,124.72,,,,,,,,,,,0,0,2048,0
120108f520bf8160,_Z12bisectKernelPfS_jS_S_PjS0_ffjjf,8070.53,32.92,0.333,1,1,1,512,1,1,0,10260,26,0,-1,,0,0,0,0,0,0,1024,0,0,0,0,832,32,255742,5752,1,0,641772,0,0,702,0,800,4848582,32,4844278,0,32,16,512,4254,74071423,4629512,128,0,128,50672,205,0,0,110739005,86653,261
120108f5213aae80,_Z12bisectKernelPfS_jS_S_PjS0_ffjjf,8065.73,4.8,0.333,1,1,1,512,1,1,0,10260,26,0,-1,,0,0,0,0,0,0,1024,0,0,0,0,832,32,255742,5752,1,0,641772,0,0,702,0,800,4848582,32,4844278,0,32,16,512,4254,74045087,4627896,128,0,128,49831,142,0,0,110739005,78379,182
120108f521b5c8e0,_Z12bisectKernelPfS_jS_S_PjS0_ffjjf,8065.7,4.32,0.333,1,1,1,512,1,1,0,10260,26,0,-1,,0,0,0,0,0,0,1024,0,0,0,0,832,32,255742,5752,1,0,641772,0,0,702,0,800,4848582,32,4844278,0,32,16,512,4254,74045279,4627896,128,0,128,49917,142,0,0,110739005,82016,182
120108f52230e320,_Z12bisectKernelPfS_jS_S_PjS0_ffjjf,8065.7,4.24,0.333,1,1,1,512,1,1,0,10260,26,0,-1,,0,0,0,0,0,0,1024,0,0,0,0,832,32,255742,5752,1,0,641772,0,0,702,0,800,4848582,32,4844278,0,32,16,512,4254,74045183,4627902,128,0,128,50457,141,0,0,110739005,81348,180
120108f522abfd60,_Z12bisectKernelPfS_jS_S_PjS0_ffjjf,8065.73,4.16,0.333,1,1,1,512,1,1,0,10260,26,0,-1,,0,0,0,0,0,0,1024,0,0,0,0,832,32,255742,5752,1,0,641772,0,0,702,0,800,4848582,32,4844278,0,32,16,512,4254,74045149,4627888,128,0,128,55146,142,0,0,110739005,78938,182
120108f5232717c0,_Z12bisectKernelPfS_jS_S_PjS0_ffjjf,8065.7,4.16,0.333,1,1,1,512,1,1,0,10260,26,0,-1,,0,0,0,0,0,0,1024,0,0,0,0,832,32,255742,5752,1,0,641772,0,0,702,0,800,4848582,32,4844278,0,32,16,512,4254,74044895,4627898,128,0,128,60491,141,0,0,110739005,86714,180
120108f523a23220,_Z12bisectKernelPfS_jS_S_PjS0_ffjjf,8065.7,4.04,0.333,1,1,1,512,1,1,0,10260,26,0,-1,,0,0,0,0,0,0,1024,0,0,0,0,832,32,255742,5752,1,0,641772,0,0,702,0,800,4848582,32,4844278,0,32,16,512,4254,74045183,4627898,128,0,128,74194,10743,0,0,110739005,98287,13349
120108f5241d4c60,_Z12bisectKernelPfS_jS_S_PjS0_ffjjf,8065.7,4.12,0.333,1,1,1,512,1,1,0,10260,26,0,-1,,0,0,0,0,0,0,1024,0,0,0,0,832,32,255742,5752,1,0,641772,0,0,702,0,800,4848582,32,4844278,0,32,16,512,4254,74045181,4627880,128,7345,128,80312,25273,0,0,110739005,121735,30463
120108f5249866a0,_Z12bisectKernelPfS_jS_S_PjS0_ffjjf,8065.7,4.08,0.333,1,1,1,512,1,1,0,10260,26,0,-1,,0,0,0,0,0,0,1024,0,0,0,0,832,32,255742,5752,1,0,641772,0,0,702,0,800,4848582,32,4844278,0,32,16,512,4254,74045149,4629052,128,0,128,61043,22167,0,0,110778320,118311,25993
120108f525138100,_Z12bisectKernelPfS_jS_S_PjS0_ffjjf,8065.66,4.12,0.333,1,1,1,512,1,1,0,10260,26,0,-1,,0,0,0,0,0,0,1024,0,0,0,0,832,32,255742,5752,1,0,641772,0,0,702,0,800,4848582,32,4844278,0,32,16,512,4254,74063455,4627906,128,0,128,47642,140,0,0,110739005,81560,178
120108f5258e9b20,_Z12bisectKernelPfS_jS_S_PjS0_ffjjf,8065.7,4.28,0.333,1,1,1,512,1,1,0,10260,26,0,-1,,0,0,0,0,0,0,1024,0,0,0,0,832,32,255742,5752,1,0,641772,0,0,702,0,800,4848582,32,4844278,0,32,16,512,4254,74045119,4627878,128,0,128,49733,142,0,0,110739005,82382,182
120108f52609b560,_Z12bisectKernelPfS_jS_S_PjS0_ffjjf,8065.73,4.04,0.333,1,1,1,512,1,1,0,10260,26,0,-1,,0,0,0,0,0,0,1024,0,0,0,0,832,32,255742,5752,1,0,641772,0,0,702,0,800,4848582,32,4844278,0,32,16,512,4254,74045277,4627896,128,0,128,50021,141,0,0,110739005,85428,180
120108f52684cfc0,_Z12bisectKernelPfS_jS_S_PjS0_ffjjf,8065.73,4.08,0.333,1,1,1,512,1,1,0,10260,26,0,-1,,0,0,0,0,0,0,1024,0,0,0,0,832,32,255742,5752,1,0,641772,0,0,702,0,800,4848582,32,4844278,0,32,16,512,4254,74045183,4627886,128,0,128,49477,142,0,0,110739005,77862,182
120108f526ffea00,_Z12bisectKernelPfS_jS_S_PjS0_ffjjf,8065.66,4.04,0.333,1,1,1,512,1,1,0,10260,26,0,-1,,0,0,0,0,0,0,1024,0,0,0,0,832,32,255742,5752,1,0,641772,0,0,702,0,800,4848582,32,4844278,0,32,16,512,4254,74045183,4627898,128,0,128,48905,142,0,0,110739005,82413,182
