# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 1200ac5f7b605e78
# CUDA_DEVICE 0 Tesla C2050
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,gld_inst_32bit,gld_inst_64bit,gld_inst_128bit,gst_inst_8bit,gst_inst_16bit,gst_inst_32bit,gst_inst_64bit,gst_inst_128bit,local_load,local_store,gld_request,gst_request,shared_load,shared_store,sm_cta_launched,l1_local_load_hit,branch,l1_local_load_miss,l1_local_store_hit,divergent_branch,l1_local_store_miss,l1_global_load_hit,inst_issued,l1_global_load_miss,inst_executed,uncached_global_load_transaction,global_store_transaction,warps_launched,threads_launched,l1_shared_bank_conflict,active_warps,active_cycles,l2 read requests,l2 read texture requests,l2 write requests,l2 read misses,l2 write misses,tex cache requests,tex cache misses,threads instruction executed,dram reads,dram writes
1200c1afa8fd58c0,memcpyHtoD,1155.74,2641.52,,,,,,,,,,,0,0,2457600,0
1200c1afa92e85a0,memcpyHtoD,505.952,1480.24,,,,,,,,,,,0,0,1638400,0
1200c1afa94f5d80,memcpyHtoD,1.344,39.04,,,,,,,,,,,0,0,112,0
1200c1afa960db00,_Z24fermiSgemm_v2_kernel_valILb1ELb0ELb0EEvPfPKfS2_iiiiiiffii,1587.65,53.6,0.333,6,10,1,64,4,1,0,12736,63,0,-1,,0,0,0,0,0,0,552960,0,0,11264,8832,0,1152,245760,15360,4,10824,1376,494,32,0,8800,0,1246329,0,1229376,0,2304,40,1280,19200,13212480,715937,26556,920100,87904,312624,88761,122880,61440,39340032,614413,106173
1200c1afa9792b20,_Z22gemm_kernel1x1_tex_valIfLb1ELb0ELb0ELb0ELb0EEvPT_iiiiiiiiS0_S0_,438.048,19.56,1,4,60,1,16,16,1,0,2176,17,0,-1,,0,0,0,0,0,0,61440,0,0,0,0,0,136,174080,10880,17,0,6192,0,0,0,0,0,357120,0,326128,0,272,136,4352,10880,10503580,237151,0,597662,7680,102002,7960,87040,43840,10743040,206392,11733
1200c1afa97fe1c0,_Z24fermiSgemm_v2_kernel_valILb1ELb0ELb0EEvPfPKfS2_iiiiiiffii,1583.26,7.36,0.333,6,10,1,64,4,1,0,12736,63,0,-1,,0,0,0,0,0,0,552960,0,0,11264,8832,0,1152,245760,15360,4,10806,1376,456,32,0,8800,0,1246405,0,1229376,0,2304,40,1280,19200,10784764,721366,27720,920140,88684,311617,88124,122880,61440,44257536,613742,105748
1200c1afa99811c0,_Z22gemm_kernel1x1_tex_valIfLb1ELb0ELb0ELb0ELb0EEvPT_iiiiiiiiS0_S0_,436.608,7.24,1,4,60,1,16,16,1,0,2176,17,0,-1,,0,0,0,0,0,0,61440,0,0,0,0,0,136,174080,10880,17,0,5848,0,0,0,0,0,337288,0,326128,0,272,128,4096,10240,10515293,223515,0,595398,7680,102793,7932,81920,39996,10436096,206144,11715
1200c1afa99ec2e0,_Z24fermiSgemm_v2_kernel_valILb1ELb0ELb0EEvPfPKfS2_iiiiiiffii,1579.74,5.72,0.333,6,10,1,64,4,1,0,12736,63,0,-1,,0,0,0,0,0,0,552960,0,0,14080,11040,0,1440,245760,15360,4,10826,1376,427,32,0,8800,0,1246401,0,1229376,0,2304,32,1024,15360,10682010,717239,26824,920138,89068,311186,89041,122880,61440,44257536,613389,107313
1200c1afa9b6e540,_Z22gemm_kernel1x1_tex_valIfLb1ELb0ELb0ELb0ELb0EEvPT_iiiiiiiiS0_S0_,436.608,5.76,1,4,60,1,16,16,1,0,2176,17,0,-1,,0,0,0,0,0,0,61440,0,0,0,0,0,136,174080,10880,17,0,5848,0,0,0,0,0,337288,0,326128,0,272,136,4352,10880,9764161,249488,0,598960,7680,102353,7891,92160,43996,10436096,205996,11751
1200c1afa9bd9720,_Z24fermiSgemm_v2_kernel_valILb1ELb0ELb0EEvPfPKfS2_iiiiiiffii,1580.74,5.52,0.333,6,10,1,64,4,1,0,12736,63,0,-1,,0,0,0,0,0,0,552960,0,0,11264,8832,0,1152,245760,15360,4,10762,1376,463,32,0,8800,0,1246339,0,1229376,0,2304,32,1024,15360,10724009,716070,26604,920090,88540,312525,89167,122880,76800,39340032,612002,107130
