# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 1200ac5e7879ab70
# CUDA_DEVICE 0 Tesla C2050
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,gld_inst_32bit,gld_inst_64bit,gld_inst_128bit,gst_inst_8bit,gst_inst_16bit,gst_inst_32bit,gst_inst_64bit,gst_inst_128bit,local_load,local_store,gld_request,gst_request,shared_load,shared_store,sm_cta_launched,l1_local_load_hit,branch,l1_local_load_miss,l1_local_store_hit,divergent_branch,l1_local_store_miss,l1_global_load_hit,inst_issued,l1_global_load_miss,inst_executed,uncached_global_load_transaction,global_store_transaction,warps_launched,threads_launched,l1_shared_bank_conflict,active_warps,active_cycles,l2 read requests,l2 read texture requests,l2 write requests,l2 read misses,l2 write misses,tex cache requests,tex cache misses,threads instruction executed,dram reads,dram writes
1200f1ae88b8eb40,memcpyHtoD,5160.48,6065.56,,,,,,,,,,,0,0,6291456,0
1200f1ae89213420,memcpyHtoD,3771.52,4548.08,,,,,,,,,,,0,0,4194304,0
1200f1ae897376e0,memcpyHtoD,1.376,39.4,,,,,,,,,,,0,0,112,0
1200f1ae898230c0,_Z24fermiSgemm_v2_kernel_valILb1ELb0ELb0EEvPfPKfS2_iiiiiiffii,5907.14,52.92,0.333,10,16,1,64,4,1,0,12736,63,0,-1,,0,0,0,0,0,0,1474560,0,0,54528,42624,0,3456,1081344,67584,11,47860,5896,2071,144,0,38928,0,5478475,0,5406192,0,6336,88,2816,67584,47924739,3083664,121868,3937573,266732,1402619,272354,540672,294912,172998144,2762539,318062
1200f1ae89dc6a60,_Z22gemm_kernel1x1_tex_valIfLb1ELb0ELb0ELb0ELb0EEvPT_iiiiiiiiS0_S0_,1083.71,18.56,1,4,96,1,16,16,1,0,2176,17,0,-1,,0,0,0,0,0,0,98304,0,0,0,0,0,216,442368,27648,27,0,15008,0,0,0,0,0,883376,0,854336,0,448,224,7168,28672,28260626,621767,0,1542766,12288,259356,12777,229376,108352,27338752,523265,18685
1200f1ae89ecfb40,_Z24fermiSgemm_v2_kernel_valILb1ELb0ELb0EEvPfPKfS2_iiiiiiffii,5899.49,6.56,0.333,10,16,1,64,4,1,0,12736,63,0,-1,,0,0,0,0,0,0,1474560,0,0,49984,39072,0,3168,1081344,67584,11,47908,5896,2051,144,0,38928,0,5478088,0,5406192,0,6336,96,3072,73728,51890003,3080104,126280,3930876,266564,1400199,274722,540672,270336,172998144,2782741,319903
1200f1ae8a4707c0,_Z22gemm_kernel1x1_tex_valIfLb1ELb0ELb0ELb0ELb0EEvPT_iiiiiiiiS0_S0_,1084.29,7.2,1,4,96,1,16,16,1,0,2176,17,0,-1,,0,0,0,0,0,0,98304,0,0,0,0,0,200,458752,28672,28,0,15008,0,0,0,0,0,883376,0,823824,0,432,216,6912,27648,27279284,602607,0,1536760,12288,260788,23801,221184,108672,26850560,597835,31220
1200f1ae8a579b20,_Z24fermiSgemm_v2_kernel_valILb1ELb0ELb0EEvPfPKfS2_iiiiiiffii,5900.77,6.16,0.333,10,16,1,64,4,1,0,12736,63,0,-1,,0,0,0,0,0,0,1474560,0,0,49984,39072,0,3168,1081344,67584,11,47820,5896,2153,144,0,38928,0,5478486,0,5406192,0,6336,88,2816,67584,51900646,3082493,124472,3930680,267016,1400512,268349,540672,270336,172998144,2754819,312598
1200f1ae8ab1acc0,_Z22gemm_kernel1x1_tex_valIfLb1ELb0ELb0ELb0ELb0EEvPT_iiiiiiiiS0_S0_,1084.13,5.56,1,4,96,1,16,16,1,0,2176,17,0,-1,,0,0,0,0,0,0,98304,0,0,0,0,0,216,458752,28672,28,0,14472,0,0,0,0,0,851832,0,854336,0,448,216,6912,27648,27274959,600340,0,1543072,12288,260604,12743,221184,106964,27338752,517898,18616
1200f1ae8ac23f40,_Z24fermiSgemm_v2_kernel_valILb1ELb0ELb0EEvPfPKfS2_iiiiiiffii,5896.67,5.44,0.333,10,16,1,64,4,1,0,12736,63,0,-1,,0,0,0,0,0,0,1474560,0,0,49984,39072,0,3168,1081344,67584,11,47919,6432,2265,160,0,42464,0,5478480,0,5406192,0,6336,88,2816,67584,47873352,3079608,124280,3930880,267468,1402554,266945,540672,270336,172998144,2760498,311347
