ERCC ID	Pool1	Pool2	log2pool1	log2pool2
ERCC-00130	30000	7500	14.87267488	12.87267488
ERCC-00004	7500	1875	12.87267488	10.87267488
ERCC-00136	1875	468.75	10.87267488	8.87267488
ERCC-00108	937.5	234.375	9.87267488	7.87267488
ERCC-00116	468.75	117.1875	8.87267488	6.87267488
ERCC-00092	234.375	58.59375	7.87267488	5.87267488
ERCC-00095	117.1875	29.296875	6.87267488	4.87267488
ERCC-00131	117.1875	29.296875	6.87267488	4.87267488
ERCC-00062	58.59375	14.6484375	5.87267488	3.87267488
ERCC-00019	29.296875	7.32421875	4.87267488	2.87267488
ERCC-00144	29.296875	7.32421875	4.87267488	2.87267488
ERCC-00170	14.6484375	3.66210938	3.87267488	1.872674882
ERCC-00154	7.32421875	1.83105469	2.87267488	0.872674882
ERCC-00085	7.32421875	1.83105469	2.87267488	0.872674882
ERCC-00028	3.66210938	0.91552734	1.872674882	-0.127325126
ERCC-00033	1.83105469	0.45776367	0.872674882	-1.127325126
ERCC-00134	1.83105469	0.45776367	0.872674882	-1.127325126
ERCC-00147	0.91552734	0.22888184	-0.127325126	-2.127325094
ERCC-00097	0.45776367	0.11444092	-1.127325126	-3.127325094
ERCC-00156	0.45776367	0.11444092	-1.127325126	-3.127325094
ERCC-00123	0.22888184	0.05722046	-2.127325094	-4.127325094
ERCC-00017	0.11444092	0.02861023	-3.127325094	-5.127325094
ERCC-00083	0.02861023	0.00715256	-5.127325094	-7.12732459
ERCC-00096	15000	15000	13.87267488	13.87267488
ERCC-00171	3750	3750	11.87267488	11.87267488
ERCC-00009	937.5	937.5	9.87267488	9.87267488
ERCC-00042	468.75	468.75	8.87267488	8.87267488
ERCC-00060	234.375	234.375	7.87267488	7.87267488
ERCC-00035	117.1875	117.1875	6.87267488	6.87267488
ERCC-00025	58.59375	58.59375	5.87267488	5.87267488
ERCC-00051	58.59375	58.59375	5.87267488	5.87267488
ERCC-00053	29.296875	29.296875	4.87267488	4.87267488
ERCC-00148	14.6484375	14.6484375	3.87267488	3.87267488
ERCC-00126	14.6484375	14.6484375	3.87267488	3.87267488
ERCC-00034	7.32421875	7.32421875	2.87267488	2.87267488
ERCC-00150	3.66210938	3.66210938	1.872674882	1.872674882
ERCC-00067	3.66210938	3.66210938	1.872674882	1.872674882
ERCC-00031	1.83105469	1.83105469	0.872674882	0.872674882
ERCC-00109	0.91552734	0.91552734	-0.127325126	-0.127325126
ERCC-00073	0.91552734	0.91552734	-0.127325126	-0.127325126
ERCC-00158	0.45776367	0.45776367	-1.127325126	-1.127325126
ERCC-00104	0.22888184	0.22888184	-2.127325094	-2.127325094
ERCC-00142	0.22888184	0.22888184	-2.127325094	-2.127325094
ERCC-00138	0.11444092	0.11444092	-3.127325094	-3.127325094
ERCC-00117	0.05722046	0.05722046	-4.127325094	-4.127325094
ERCC-00075	0.01430512	0.01430512	-6.12732459	-6.12732459
ERCC-00074	15000	22500	13.87267488	14.45763738
ERCC-00113	3750	5625	11.87267488	12.45763738
ERCC-00145	937.5	1406.25	9.87267488	10.45763738
ERCC-00111	468.75	703.125	8.87267488	9.457637381
ERCC-00076	234.375	351.5625	7.87267488	8.457637381
ERCC-00044	117.1875	175.78125	6.87267488	7.457637381
ERCC-00162	58.59375	87.890625	5.87267488	6.457637381
ERCC-00071	58.59375	87.890625	5.87267488	6.457637381
ERCC-00084	29.296875	43.9453125	4.87267488	5.457637381
