col	row	region_id	res_old	res_new	ppf	ppf2	ssq	cf	ie	dr	used_in_est	clonal
0	0	0	0.0467	0.2344	0.5625	0.9167	6.4793	0.0300	0.0300	0.0002	0	1
9	0	0	0.0084	0.0756	0.4688	0.4500	1.1121	0.0000	0.0101	0.0002	0	1
5	0	0	0.0030	0.0343	0.4062	0.4333	0.8633	0.0202	0.0080	0.0002	1	1
6	0	0	0.0031	0.0451	0.4375	0.4833	1.1252	0.0040	0.0076	0.0002	1	1
7	0	0	0.0019	0.0235	0.4062	0.4333	0.9371	0.0070	0.0032	0.0002	1	1
11	0	0	0.0030	0.0401	0.3125	0.3667	0.5449	0.0011	0.0115	0.0002	1	1
8	0	0	0.0015	0.0240	0.4375	0.4333	0.7787	0.0040	0.0080	0.0002	1	1
32	0	0	0.0011	0.0252	0.5625	0.5000	1.4333	0.0000	0.0100	0.0002	0	1
16	0	0	0.0025	0.0368	0.4688	0.5333	1.3154	0.0046	0.0052	0.0002	1	1
24	0	0	0.0052	0.0650	0.3750	0.5667	2.9863	0.0257	0.0300	0.0002	0	1
22	0	0	0.0027	0.0366	0.4688	0.5167	0.9745	0.0300	0.0071	0.0002	0	1
14	0	0	0.0020	0.0378	0.5000	0.5000	0.8253	0.0206	0.0071	0.0002	1	1
1	0	0	0.0030	0.0266	0.3750	0.4667	0.8323	0.0000	0.0090	0.0002	0	1
18	0	0	0.0044	0.0486	0.4062	0.4333	0.8438	0.0167	0.0111	0.0002	1	1
37	0	0	0.0109	0.1016	0.4062	0.5667	2.0179	0.0300	0.0300	0.0002	0	1
42	0	0	0.0119	0.0641	0.4688	0.5000	2.7363	0.0300	0.0056	0.0002	0	1
47	0	0	0.0038	0.0465	0.3125	0.3833	1.2954	0.0000	0.0134	0.0002	0	1
23	0	0	0.0080	0.0976	0.4062	0.6167	2.9704	0.0022	0.0130	0.0002	1	1
20	0	0	0.0264	0.1373	0.4062	0.6167	4.4043	0.0214	0.0181	0.0002	1	1
31	0	0	0.0015	0.0331	0.3750	0.4167	1.1849	0.0081	0.0104	0.0002	1	1
5	1	0	0.0022	0.0322	0.4062	0.4500	0.7079	0.0009	0.0085	0.0002	1	1
4	1	0	0.0033	0.0328	0.4688	0.5667	1.2640	0.0000	0.0054	0.0002	0	1
29	0	0	0.1107	0.3461	0.4688	0.8000	6.6712	0.0300	0.0300	0.0002	0	1
21	0	0	0.0009	0.0302	0.3438	0.3667	0.8184	0.0183	0.0078	0.0002	1	1
2	1	0	0.0012	0.0170	0.4375	0.4667	1.4364	0.0039	0.0130	0.0002	1	1
3	1	0	0.0021	0.0409	0.4688	0.4833	0.6920	0.0300	0.0046	0.0002	0	1
28	0	0	0.0086	0.0815	0.4062	0.5667	1.9240	0.0159	0.0088	0.0002	1	1
11	1	0	0.0026	0.0325	0.4688	0.4667	1.7404	0.0109	0.0061	0.0002	1	1
39	0	0	0.1013	0.3533	0.5000	0.7333	6.5337	0.0300	0.0300	0.0002	0	1
19	1	0	0.0040	0.0450	0.4062	0.4167	1.0265	0.0000	0.0117	0.0002	0	1
7	1	0	0.0015	0.0256	0.4062	0.4333	0.7721	0.0000	0.0047	0.0002	0	1
43	0	0	0.0117	0.0860	0.4375	0.4167	1.9481	0.0300	0.0188	0.0002	0	1
33	0	0	0.0029	0.0405	0.3750	0.4500	0.5652	0.0248	0.0024	0.0002	1	1
21	1	0	0.0031	0.0501	0.4375	0.4833	1.1534	0.0002	0.0150	0.0002	1	1
25	0	0	0.0409	0.1868	0.6562	0.9167	5.9870	0.0300	0.0300	0.0002	0	1
17	1	0	0.0044	0.0603	0.5625	0.4833	1.3131	0.0296	0.0097	0.0002	1	1
20	1	0	0.0013	0.0398	0.4062	0.4833	0.4988	0.0090	0.0081	0.0002	1	1
26	1	0	0.0016	0.0258	0.3750	0.4667	0.6961	0.0177	0.0109	0.0002	1	1
15	1	0	0.0025	0.0501	0.4688	0.5000	1.6979	0.0161	0.0142	0.0002	1	1
10	0	0	0.0042	0.0275	0.3438	0.4500	1.0638	0.0204	0.0036	0.0002	1	1
29	1	0	0.0048	0.0414	0.5000	0.5333	1.7236	0.0000	0.0100	0.0002	0	1
28	1	0	0.0157	0.1188	0.3438	0.5500	2.9424	0.0300	0.0157	0.0002	0	1
31	1	0	0.0322	0.0653	0.4688	0.5667	3.7118	0.0000	0.0109	0.0002	0	1
8	1	0	0.0017	0.0396	0.4375	0.4667	1.4071	0.0113	0.0086	0.0002	1	1
25	1	0	0.0008	0.0230	0.4375	0.4667	0.7674	0.0022	0.0053	0.0002	1	1
9	1	0	0.0030	0.0522	0.5000	0.4333	0.7869	0.0020	0.0092	0.0002	1	1
40	1	0	0.0030	0.0428	0.3750	0.4000	0.7800	0.0298	0.0129	0.0002	1	1
49	1	0	0.0044	0.0663	0.4688	0.4833	1.6474	0.0000	0.0109	0.0002	0	1
30	1	0	0.0240	0.1268	0.4375	0.5167	2.8378	0.0300	0.0140	0.0002	0	1
44	1	0	0.0044	0.0501	0.4062	0.4833	1.0454	0.0284	0.0148	0.0002	1	1
48	1	0	0.0039	0.0512	0.5000	0.5000	1.9099	0.0027	0.0094	0.0002	1	1
45	1	0	0.0018	0.0271	0.4688	0.4000	0.7026	0.0000	0.0075	0.0002	0	1
37	1	0	0.0385	0.2034	0.6562	0.9500	5.1919	0.0300	0.0300	0.0002	0	1
13	0	0	0.0077	0.0296	0.3750	0.6167	3.6002	0.0037	0.0070	0.0002	1	1
2	2	0	0.0031	0.0413	0.4062	0.4000	0.6448	0.0000	0.0084	0.0002	0	1
0	2	0	0.0427	0.1830	0.6250	0.9167	5.7990	0.0300	0.0300	0.0002	0	1
1	1	0	0.0006	0.0149	0.3750	0.4167	0.2561	0.0015	0.0069	0.0002	1	1
35	1	0	0.0120	0.1056	0.4688	0.4333	2.4534	0.0000	0.0134	0.0002	0	1
5	2	0	0.0215	0.0755	0.4062	0.6000	3.3460	0.0300	0.0081	0.0002	0	1
3	2	0	0.0025	0.0370	0.4688	0.4833	1.0259	0.0000	0.0041	0.0002	0	1
12	0	0	0.0019	0.0279	0.4062	0.4833	0.8630	0.0094	0.0087	0.0002	1	1
4	2	0	0.0020	0.0307	0.4688	0.5667	1.1918	0.0040	0.0052	0.0002	1	1
42	1	0	0.1585	0.3174	0.5312	0.7333	5.5651	0.0300	0.0300	0.0002	0	1
15	0	0	0.0184	0.0837	0.4062	0.5833	3.0835	0.0141	0.0109	0.0002	1	1
7	2	0	0.0010	0.0104	0.3750	0.3667	0.3337	0.0089	0.0026	0.0002	1	1
14	2	0	0.0039	0.0521	0.4688	0.4667	0.5676	0.0000	0.0111	0.0002	0	1
12	2	0	0.0028	0.0139	0.2812	0.4500	1.2703	0.0049	0.0116	0.0002	1	1
