col	row	isTF	isLib	isDud	isAmbg	nCall	cf	ie	dr	keySNR	keySD	keySig	oneSig	zeroSig	ppf	medAbsRes	multiplier
4	0	0	0	1	0	26	0.0120	0.0088	0.00023	0.000	0.014	0.000	0.000	0.000	0.233	0.032	1.000
5	0	0	1	0	0	109	0.0120	0.0088	0.00023	18.236	0.050	0.905	0.913	0.008	0.433	0.038	0.288
7	0	0	1	0	0	114	0.0120	0.0088	0.00023	15.537	0.061	0.947	0.951	0.004	0.417	0.041	0.336
1	0	0	1	0	0	120	0.0120	0.0088	0.00023	12.258	0.080	0.985	0.986	0.001	0.467	0.040	0.325
6	0	0	1	0	0	113	0.0120	0.0088	0.00023	9.581	0.101	0.966	0.967	0.001	0.467	0.027	0.338
8	0	0	1	0	0	114	0.0120	0.0088	0.00023	17.369	0.055	0.952	0.962	0.009	0.400	0.026	0.296
9	0	0	1	0	0	118	0.0120	0.0088	0.00023	37.724	0.024	0.924	0.925	0.001	0.450	0.059	0.355
22	0	0	1	0	0	112	0.0120	0.0088	0.00023	30.870	0.031	0.971	0.977	0.005	0.433	0.024	0.332
11	0	0	1	0	0	109	0.0120	0.0088	0.00023	15.145	0.068	1.024	1.025	0.001	0.333	0.023	0.357
21	0	0	1	0	0	102	0.0120	0.0088	0.00023	52.020	0.020	1.017	1.031	0.014	0.367	0.028	0.300
16	0	0	1	0	0	122	0.0120	0.0088	0.00023	18.930	0.049	0.933	0.934	0.001	0.500	0.047	0.335
18	0	0	1	0	0	110	0.0120	0.0088	0.00023	29.282	0.033	0.968	0.969	0.001	0.400	0.041	0.326
10	0	0	1	0	0	121	0.0120	0.0088	0.00023	11.682	0.084	0.977	0.982	0.005	0.383	0.047	0.318
14	0	0	1	0	0	120	0.0120	0.0088	0.00023	17.835	0.054	0.960	0.961	0.001	0.467	0.031	0.225
32	0	0	1	0	0	115	0.0120	0.0088	0.00023	19.423	0.052	1.012	1.013	0.001	0.483	0.037	0.084
15	0	0	1	0	0	121	0.0120	0.0088	0.00023	19.163	0.050	0.957	0.958	0.001	0.417	0.072	0.599
33	0	0	1	0	0	110	0.0120	0.0088	0.00023	37.436	0.026	0.991	0.993	0.001	0.383	0.033	0.113
13	0	0	1	0	0	143	0.0120	0.0088	0.00023	22.933	0.047	1.088	1.089	0.001	0.467	0.085	0.366
23	0	0	1	0	0	147	0.0120	0.0088	0.00023	5.315	0.153	0.815	1.005	0.189	0.450	0.126	0.484
24	0	0	1	0	0	125	0.0120	0.0088	0.00023	9.947	0.114	1.134	1.166	0.032	0.467	0.078	0.402
43	0	0	1	0	0	112	0.0120	0.0088	0.00023	25.187	0.045	1.126	1.127	0.001	0.417	0.073	0.095
37	0	0	1	0	0	114	0.0120	0.0088	0.00023	8.686	0.115	0.995	0.997	0.001	0.417	0.067	0.211
36	0	0	1	0	0	115	0.0120	0.0088	0.00023	5.429	0.160	0.868	0.869	0.001	0.500	0.048	0.158
31	0	0	1	0	0	122	0.0120	0.0088	0.00023	28.480	0.036	1.020	1.024	0.004	0.433	0.034	0.275
42	0	0	1	0	0	107	0.0120	0.0088	0.00023	14.574	0.074	1.082	1.083	0.001	0.483	0.047	0.116
