#%create_date=2016-07-21 12:30:41
#%chip_type=Immune-response
#%lib_set_name=Immune-response
#%lib_set_version=v1
#%genome-species=Homo sapiens
#%genome-version=hg19
#%genome-version-ucsc=hg19
#%genome-version-ncbi=GRCh37
#%genome-version-create_date=2009-02-00
#%genome-lifted-method=liftOver
#%genome-lifted_from-species=Homo sapiens
#%genome-lifted_from-version-ucsc=hg19
#%genome-lifted_from-version-ncbi=GRCh37
"transcript_cluster_id","probeset_id","seqname","strand","start","stop","total_probes","gene_assignment","mrna_assignment","swissprot","unigene","GO_biological_process","GO_cellular_component","GO_molecular_function","pathway","protein_domains","crosshyb_type","category"
"ABCF1_11741283","ABCF1_11741283","chr6","+",30551624,30552074,"1","NM_001025091 // ABCF1 // ATP_binding_cassette_subfamily_F_member_1 // --- // 23","---","---","---","---","---","---","---","---","1","main"
"ADGRE5_26552764","ADGRE5_26552764","chr19","+",14517920,14518745,"1","NM_078481 // ADGRE5 // adhesion_G_protein-coupled_receptor_E5 // --- // 976","---","---","---","---","---","---","---","---","1","main"
"ADORA2A_771873","ADORA2A_771873","chr22","+",24829664,24836653,"1","NM_000675 // ADORA2A // adenosine_A2a_receptor // --- // 135","---","---","---","---","---","---","---","---","1","main"
"AIF1_385491","AIF1_385491","chr6","+",31584216,31584673,"1","NM_001623 // AIF1 // allograft_inflammatory_factor_1 // --- // 199","---","---","---","---","---","---","---","---","1","main"
"AKT1_358467","AKT1_358467","chr14","+",105246451,105258980,"1","NM_001014431 // AKT1 // AKT_serine_threonine_kinase_1 // --- // 207","---","---","---","---","---","---","---","---","1","main"
"ALOX15B_13391445","ALOX15B_13391445","chr17","+",7949990,7950290,"1","NM_001141 // ALOX15B // arachidonate_15-lipoxygenase_type_B // --- // 247","---","---","---","---","---","---","---","---","1","main"
"ARG1_174278","ARG1_174278","chr6","+",131897816,131900340,"1","NM_000045 // ARG1 // arginase_1 // --- // 383","---","---","---","---","---","---","---","---","1","main"
"AXL_24872596","AXL_24872596","chr19","+",41763478,41765550,"1","NM_021913 // AXL // AXL_receptor_tyrosine_kinase // --- // 558","---","---","---","---","---","---","---","---","1","main"
"B3GAT1_170280","B3GAT1_170280","chr11","+",134257513,134257795,"1","NM_018644 // B3GAT1 // beta-13-glucuronyltransferase_1 // --- // 27087","---","---","---","---","---","---","---","---","1","main"
"BAGE_153290","BAGE_153290","chr21","+",11097561,11098792,"1","NM_182482 // BAGE // B_melanoma_antigen // --- // 574","---","---","---","---","---","---","---","---","1","main"
"BATF_237345","BATF_237345","chr14","+",75988999,75991486,"1","NM_006399 // BATF // basic_leucine_zipper_ATF-like_transcription_factor // --- // 10538","---","---","---","---","---","---","---","---","1","main"
"BCL2_10401144","BCL2_10401144","chr18","+",60795905,60985374,"1","NM_000633 // BCL2 // B-cell_CLL_lymphoma_2 // --- // 596","---","---","---","---","---","---","---","---","1","main"
"BCL2L11_620729","BCL2L11_620729","chr2","+",111881634,111907684,"1","NM_138621 // BCL2L11 // BCL2_like_11 // --- // 10018","---","---","---","---","---","---","---","---","1","main"
"BCL6_21502257","BCL6_21502257","chr3","+",187442793,187443362,"1","NM_001706 // BCL6 // B-cell_CLL_lymphoma_6 // --- // 604","---","---","---","---","---","---","---","---","1","main"
"BRCA1_42344338","BRCA1_42344338","chr17","+",41243015,41243564,"1","NM_007300 // BRCA1 // BRCA1_DNA_repair_associated // --- // 672","---","---","---","---","---","---","---","---","1","main"
"BRCA2_98179922","BRCA2_98179922","chr13","+",32971102,32972368,"1","NM_000059 // BRCA2 // BRCA2_DNA_repair_associated // --- // 675","---","---","---","---","---","---","---","---","1","main"
"BST2_218322","BST2_218322","chr19","+",17515187,17516186,"1","NM_004335 // BST2 // bone_marrow_stromal_cell_antigen_2 // --- // 684","---","---","---","---","---","---","---","---","1","main"
"BTLA_227334","BTLA_227334","chr3","+",112198549,112218199,"1","NM_181780 // BTLA // B_and_T_lymphocyte_associated // --- // 151888","---","---","---","---","---","---","---","---","1","main"
"BUB1_701803","BUB1_701803","chr2","+",111425185,111425425,"1","NM_004336 // BUB1 // BUB1_mitotic_checkpoint_serine_threonine_kinase // --- // 699","---","---","---","---","---","---","---","---","1","main"
"C10orf54_562672","C10orf54_562672","chr10","+",73520641,73521463,"1","NM_022153 // C10orf54 // chromosome_10_open_reading_frame_54 // --- // 64115","---","---","---","---","---","---","---","---","1","main"
"C1QA_67171","C1QA_67171","chr1","+",22963162,22964214,"1","NM_015991 // C1QA // complement_component_1_q_subcomponent_A_chain // --- // 712","---","---","---","---","---","---","---","---","1","main"
"C1QB_111199","C1QB_111199","chr1","+",22979772,22986034,"1","NM_000491 // C1QB // complement_component_1_q_subcomponent_B_chain // --- // 713","---","---","---","---","---","---","---","---","1","main"
"CA4_420530","CA4_420530","chr17","+",58234827,58235093,"1","NM_000717 // CA4 // carbonic_anhydrase_4 // --- // 762","---","---","---","---","---","---","---","---","1","main"
"CBLB_296407","CBLB_296407","chr3","+",105586316,105587610,"1","NM_170662 // CBLB // Cbl_proto-oncogene_B // --- // 868","---","---","---","---","---","---","---","---","1","main"
"CCL17_288394","CCL17_288394","chr16","+",57449060,57449775,"1","NM_002987 // CCL17 // C-C_motif_chemokine_ligand_17 // --- // 6361","---","---","---","---","---","---","---","---","1","main"
"CCL18_198296","CCL18_198296","chr17","+",34397849,34398390,"1","NM_002988 // CCL18 // C-C_motif_chemokine_ligand_18 // --- // 6362","---","---","---","---","---","---","---","---","1","main"
"CCL2_242346","CCL2_242346","chr17","+",32583309,32583840,"1","NM_002982 // CCL2 // C-C_motif_chemokine_ligand_2 // --- // 6347","---","---","---","---","---","---","---","---","1","main"
"CCL20_297403","CCL20_297403","chr2","+",228681036,228681862,"1","NM_004591 // CCL20 // C-C_motif_chemokine_ligand_20 // --- // 6364","---","---","---","---","---","---","---","---","1","main"
"CCL21_432539","CCL21_432539","chr9","+",34709318,34709540,"1","NM_002989 // CCL21 // C-C_motif_chemokine_ligand_21 // --- // 6366","---","---","---","---","---","---","---","---","1","main"
"CCL22_79185","CCL22_79185","chr16","+",57392753,57394449,"1","NM_002990 // CCL22 // C-C_motif_chemokine_ligand_22 // --- // 6367","---","---","---","---","---","---","---","---","1","main"
"CCL3_238343","CCL3_238343","chr17","+",34416032,34416600,"1","NM_002983 // CCL3 // C-C_motif_chemokine_ligand_3 // --- // 6348","---","---","---","---","---","---","---","---","1","main"
"CCL4_121220","CCL4_121220","chr17","+",34431316,34432010,"1","NM_002984 // CCL4 // C-C_motif_chemokine_ligand_4 // --- // 6351","---","---","---","---","---","---","---","---","1","main"
"CCL5_110219","CCL5_110219","chr17","+",34205548,34207287,"1","NM_002985 // CCL5 // C-C_motif_chemokine_ligand_5 // --- // 6352","---","---","---","---","---","---","---","---","1","main"
"CCNB2_9861095","CCNB2_9861095","chr15","+",59409074,59409524,"1","NM_004701 // CCNB2 // cyclin_B2 // --- // 9133","---","---","---","---","---","---","---","---","1","main"
"CCR1_54149","CCR1_54149","chr3","+",46245707,46249798,"1","NM_001295 // CCR1 // C-C_motif_chemokine_receptor_1 // --- // 1230","---","---","---","---","---","---","---","---","1","main"
"CCR2_385483","CCR2_385483","chr3","+",46395591,46399035,"1","NM_001123396 // CCR2 // C-C_motif_chemokine_receptor_2 // --- // 729230","---","---","---","---","---","---","---","---","1","main"
"CCR4_76182","CCR4_76182","chr3","+",32993122,32994949,"1","NM_005508 // CCR4 // C-C_motif_chemokine_receptor_4 // --- // 1233","---","---","---","---","---","---","---","---","1","main"
"CCR5_85193","CCR5_85193","chr3","+",46412431,46414482,"1","NM_001100168 // CCR5 // C-C_motif_chemokine_receptor_5_gene_pseudogene // --- // 1234","---","---","---","---","---","---","---","---","1","main"
"CCR6_271363","CCR6_271363","chr6","+",167549568,167549808,"1","NM_004367 // CCR6 // C-C_motif_chemokine_receptor_6 // --- // 1235","---","---","---","---","---","---","---","---","1","main"
"CCR7_133237","CCR7_133237","chr17","+",38711945,38715167,"1","NM_001838 // CCR7 // C-C_motif_chemokine_receptor_7 // --- // 1236","---","---","---","---","---","---","---","---","1","main"
"CD14_329435","CD14_329435","chr5","+",140012493,140012730,"1","NM_000591 // CD14 // CD14_molecule // --- // 929","---","---","---","---","---","---","---","---","1","main"
"CD160_194300","CD160_194300","chr1","+",145704314,145706806,"1","NM_007053 // CD160 // CD160_molecule // --- // 11126","---","---","---","---","---","---","---","---","1","main"
"CD163_21422245","CD163_21422245","chr12","+",7639495,7640016,"1","NM_004244 // CD163 // CD163_molecule // --- // 9332","---","---","---","---","---","---","---","---","1","main"
"CD19_12011317","CD19_12011317","chr16","+",28943822,28944268,"1","NM_001178098 // CD19 // CD19_molecule // --- // 930","---","---","---","---","---","---","---","---","1","main"
"CD1C_12531357","CD1C_12531357","chr1","+",158263046,158263348,"1","NM_001765 // CD1C // CD1c_molecule // --- // 911","---","---","---","---","---","---","---","---","1","main"
"CD1D_10661173","CD1D_10661173","chr1","+",158152040,158152756,"1","NM_001766 // CD1D // CD1d_molecule // --- // 912","---","---","---","---","---","---","---","---","1","main"
"CD2_350452","CD2_350452","chr1","+",117297484,117303083,"1","NM_001767 // CD2 // CD2_molecule // --- // 914","---","---","---","---","---","---","---","---","1","main"
"CD209_9921101","CD209_9921101","chr19","+",7808086,7809099,"1","NM_021155 // CD209 // CD209_molecule // --- // 30835","---","---","---","---","---","---","---","---","1","main"
"CD22_10251132","CD22_10251132","chr19","+",35828859,35829154,"1","NM_001771 // CD22 // CD22_molecule // --- // 933","---","---","---","---","---","---","---","---","1","main"
"CD226_9021006","CD226_9021006","chr18","+",67540446,67563048,"1","NM_006566 // CD226 // CD226_molecule // --- // 10666","---","---","---","---","---","---","---","---","1","main"
"CD244_868973","CD244_868973","chr1","+",160808739,160811047,"1","NM_001166663 // CD244 // CD244_molecule // --- // 51744","---","---","---","---","---","---","---","---","1","main"
"CD247_152252","CD247_152252","chr1","+",167409929,167487718,"1","NM_198053 // CD247 // CD247_molecule // --- // 919","---","---","---","---","---","---","---","---","1","main"
"CD27_409517","CD27_409517","chr12","+",6554628,6559394,"1","NM_001242 // CD27 // CD27_molecule // --- // 939","---","---","---","---","---","---","---","---","1","main"
"CD274_461569","CD274_461569","chr9","+",5457358,5462918,"1","NM_014143 // CD274 // CD274_molecule // --- // 29126","---","---","---","---","---","---","---","---","1","main"
"CD276_12011310","CD276_12011310","chr15","+",73996214,73996539,"1","NM_001024736 // CD276 // CD276_molecule // --- // 80381","---","---","---","---","---","---","---","---","1","main"
"CD28_601704","CD28_601704","chr2","+",204591657,204594464,"1","NM_006139 // CD28 // CD28_molecule // --- // 940","---","---","---","---","---","---","---","---","1","main"
"CD33_387493","CD33_387493","chr19","+",51728758,51729111,"1","NM_001772 // CD33 // CD33_molecule // --- // 945","---","---","---","---","---","---","---","---","1","main"
"CD37_496605","CD37_496605","chr19","+",49841195,49842014,"1","NM_001774 // CD37 // CD37_molecule // --- // 951","---","---","---","---","---","---","---","---","1","main"
"CD38_519628","CD38_519628","chr4","+",15826532,15835881,"1","NM_001775 // CD38 // CD38_molecule // --- // 952","---","---","---","---","---","---","---","---","1","main"
"CD3D_400503","CD3D_400503","chr11","+",118210507,118211123,"1","NM_000732 // CD3D // CD3d_molecule // --- // 915","---","---","---","---","---","---","---","---","1","main"
"CD3E_677780","CD3E_677780","chr11","+",118184464,118185185,"1","NM_000733 // CD3E // CD3e_molecule // --- // 916","---","---","---","---","---","---","---","---","1","main"
"CD3G_616717","CD3G_616717","chr11","+",118223149,118223930,"1","NM_000073 // CD3G // CD3g_molecule // --- // 917","---","---","---","---","---","---","---","---","1","main"
"CD4_147255","CD4_147255","chr12","+",6898761,6909318,"1","NM_000616 // CD4 // CD4_molecule // --- // 920","---","---","---","---","---","---","---","---","1","main"
"CD40_300407","CD40_300407","chr20","+",44750941,44751341,"1","NM_001250 // CD40 // CD40_molecule // --- // 958","---","---","---","---","---","---","---","---","1","main"
"CD40LG_479579","CD40LG_479579","chrX","+",135738552,135741321,"1","NM_000074 // CD40LG // CD40_ligand // --- // 959","---","---","---","---","---","---","---","---","1","main"
"CD44_10151123","CD44_10151123","chr11","+",35211504,35218334,"1","NM_000610 // CD44 // CD44_molecule_Indian_blood_group // --- // 960","---","---","---","---","---","---","---","---","1","main"
"CD47_826931","CD47_826931","chr3","+",107777197,107778367,"1","NM_001777 // CD47 // CD47_molecule // --- // 961","---","---","---","---","---","---","---","---","1","main"
"CD48_695798","CD48_695798","chr1","+",160648839,160651057,"1","NM_001778 // CD48 // CD48_molecule // --- // 962","---","---","---","---","---","---","---","---","1","main"
"CD52_70175","CD52_70175","chr1","+",26644455,26646703,"1","NM_001803 // CD52 // CD52_molecule // --- // 1043","---","---","---","---","---","---","---","---","1","main"
"CD53_28133","CD53_28133","chr1","+",111413823,111415866,"1","NM_001040033 // CD53 // CD53_molecule // --- // 963","---","---","---","---","---","---","---","---","1","main"
"CD6_17771886","CD6_17771886","chr11","+",60784971,60785328,"1","NM_006725 // CD6 // CD6_molecule // --- // 923","---","---","---","---","---","---","---","---","1","main"
"CD63_692800","CD63_692800","chr12","+",56119624,56119997,"1","NM_001780 // CD63 // CD63_molecule // --- // 967","---","---","---","---","---","---","---","---","1","main"
"CD68_172280","CD68_172280","chr17","+",7482956,7483188,"1","NM_001251 // CD68 // CD68_molecule // --- // 968","---","---","---","---","---","---","---","---","1","main"
"CD69_195303","CD69_195303","chr12","+",9907801,9908985,"1","NM_001781 // CD69 // CD69_molecule // --- // 969","---","---","---","---","---","---","---","---","1","main"
"CD70_259363","CD70_259363","chr19","+",6586380,6590923,"1","NM_001252 // CD70 // CD70_molecule // --- // 970","---","---","---","---","---","---","---","---","1","main"
"CD74_787896","CD74_787896","chr5","+",149782771,149784285,"1","NM_001025159 // CD74 // CD74_molecule // --- // 972","---","---","---","---","---","---","---","---","1","main"
"CD79A_184290","CD79A_184290","chr19","+",42381351,42383106,"1","NM_001783 // CD79A // CD79a_molecule // --- // 973","---","---","---","---","---","---","---","---","1","main"
"CD79B_484590","CD79B_484590","chr17","+",62007151,62007485,"1","NM_001039933 // CD79B // CD79b_molecule // --- // 974","---","---","---","---","---","---","---","---","1","main"
"CD80_457557","CD80_457557","chr3","+",119263631,119276540,"1","NM_005191 // CD80 // CD80_molecule // --- // 941","---","---","---","---","---","---","---","---","1","main"
"CD83_480580","CD83_480580","chr6","+",14131878,14133927,"1","NM_004233 // CD83 // CD83_molecule // --- // 9308","---","---","---","---","---","---","---","---","1","main"
"CD86_169267","CD86_169267","chr3","+",121810447,121822453,"1","NM_175862 // CD86 // CD86_molecule // --- // 942","---","---","---","---","---","---","---","---","1","main"
"CD8A_14271531","CD8A_14271531","chr2","+",87012975,87015681,"1","NM_171827 // CD8A // CD8a_molecule // --- // 925","---","---","---","---","---","---","---","---","1","main"
